city_tour1	What year was the statue unveiled?	1854;1895;1869;1886	4
city_tour1	Where was the statue of Liberty built?	France;Italy;Germany;Brazil	1
city_tour1	How high is the statue from the feet to the end of the torch?	36 meters(118ft);56 meters(183ft);46 meters(85ft);26 meters(150ft)	3
city_tour2	What is the total height of The Empire State Building?	443 meters (1453 feet);325 meters (1066 feet);286 meters(938 feet);417 meters(1368 feet)	1
city_tour2	How many floors does the Empire State Building have?	84;118;102;97	3
city_tour2	Why is it called The Empire State Building?	New York was called The Empire State;It was built by an Emperor;It was only visited by Emperors;The architects last name was Emperor	1
city_tour3	What is Times Square sometimes referred to?	The Center of the Universe;The Great Square of New York;The Empire Square;Square of Light	1
city_tour3	How many people pass through Times Square every day?	350,000;325,000;330,000;340,000	3
city_tour3	Which day is celebrated on times square?	Independence day;Valentine's day;The end of world war II;New year's eve	4
city_tour4	When became Central Park became a National landmark?	1962;1945;1974;1938	1
city_tour4	What organization maintains Central Park?	Central Park Maintenance;Central Park Conservancy;Central Park Green & Clean;Central Park Lake & Yard	2
city_tour4	How many sculptures can you find in the park?	28;23;29;35;	3
